STATUS;FROM;TO
OK;0;20
OK;40;60
OK;20;40
OK;100;120
OK;120;140
OK;80;100
OK;60;80
OK;160;180
OK;140;160
OK;200;220
OK;180;200
OK;260;280
OK;240;260
OK;300;320
OK;220;240
OK;280;300
OK;320;340
OK;380;400
OK;360;380
OK;420;440
OK;340;360
OK;400;420
OK;440;460
OK;460;480
OK;480;500
OK;520;540
OK;500;520
OK;540;560
OK;560;580
OK;580;600
OK;620;640
OK;660;680
OK;600;620
OK;680;700
OK;640;660
OK;720;740
OK;700;720
OK;740;760
OK;760;780
OK;780;800
OK;800;820
OK;840;860
OK;880;900
OK;820;840
OK;940;960
OK;860;880
OK;900;920
OK;960;980
OK;920;940
OK;980;1000
OK;5000;5020
OK;5080;5100
OK;5120;5140
OK;5140;5160
OK;5160;5180
OK;5100;5120
OK;5180;5200
OK;5200;5220
OK;5220;5240
OK;5240;5260
OK;5260;5280
OK;5280;5300
OK;5300;5320
OK;5320;5340
OK;5340;5360
OK;5360;5380
OK;5380;5400
OK;5040;5060
OK;5020;5040
OK;5400;5420
OK;5060;5080
OK;5460;5480
OK;5480;5500
OK;5440;5460
OK;5520;5540
OK;5500;5520
OK;5420;5440
OK;5540;5560
OK;5580;5600
OK;5640;5660
OK;5600;5620
OK;5620;5640
OK;5680;5700
OK;5740;5760
OK;5660;5680
OK;5720;5740
OK;5760;5780
OK;5780;5800
OK;5700;5720
OK;5820;5840
OK;5800;5820
OK;5560;5580
OK;5840;5860
OK;5880;5900
OK;5940;5960
OK;5920;5940
OK;5900;5920
OK;5960;5980
OK;5860;5880
OK;5980;6000
OK;1060;1080
OK;1020;1040
OK;1000;1020
OK;1080;1100
OK;1120;1140
OK;1140;1160
OK;1160;1180
OK;1040;1060
OK;1220;1240
OK;1100;1120
OK;1200;1220
OK;1240;1260
OK;1280;1300
OK;1180;1200
OK;1260;1280
OK;1320;1340
OK;1340;1360
OK;1360;1380
OK;1300;1320
OK;1380;1400
OK;1420;1440
OK;1440;1460
OK;1460;1480
OK;1520;1540
OK;1400;1420
OK;1480;1500
OK;1500;1520
OK;1560;1580
OK;1540;1560
OK;1580;1600
OK;1600;1620
OK;1620;1640
OK;1640;1660
OK;1700;1720
OK;1740;1760
OK;1680;1700
OK;1760;1780
OK;1660;1680
OK;1780;1800
OK;1720;1740
OK;1800;1820
OK;1840;1860
OK;1900;1920
OK;1860;1880
OK;1940;1960
OK;1820;1840
OK;1920;1940
OK;1880;1900
OK;1980;2000
OK;1960;1980
OK;6060;6080
OK;6000;6020
OK;6020;6040
OK;6100;6120
OK;6080;6100
OK;6140;6160
OK;6160;6180
OK;6040;6060
OK;6180;6200
OK;6120;6140
OK;6240;6260
OK;6260;6280
OK;6200;6220
OK;6300;6320
OK;6220;6240
OK;6320;6340
OK;6340;6360
OK;6380;6400
OK;6360;6380
OK;6280;6300
OK;6420;6440
OK;6460;6480
OK;6480;6500
OK;6440;6460
OK;6540;6560
OK;6400;6420
OK;6500;6520
OK;6560;6580
OK;6580;6600
OK;6620;6640
OK;6600;6620
OK;6640;6660
OK;6660;6680
OK;6520;6540
OK;6720;6740
OK;6700;6720
OK;6680;6700
OK;6760;6780
OK;6740;6760
OK;6780;6800
OK;6840;6860
OK;6860;6880
OK;6820;6840
OK;6800;6820
OK;6880;6900
OK;6920;6940
OK;6900;6920
OK;6960;6980
OK;6980;7000
OK;6940;6960
OK;2000;2020
OK;2020;2040
OK;2080;2100
OK;2060;2080
OK;2100;2120
OK;2120;2140
OK;2040;2060
OK;2220;2240
OK;2180;2200
OK;2160;2180
OK;2260;2280
OK;2140;2160
OK;2200;2220
OK;2240;2260
OK;2300;2320
OK;2280;2300
OK;2320;2340
OK;2380;2400
OK;2340;2360
OK;2360;2380
OK;2400;2420
OK;2440;2460
OK;2420;2440
OK;2480;2500
OK;2500;2520
OK;2520;2540
OK;2560;2580
OK;2600;2620
OK;2580;2600
OK;2460;2480
OK;2660;2680
OK;2540;2560
OK;2640;2660
OK;2620;2640
OK;2700;2720
OK;2720;2740
OK;2760;2780
